Species Code,Common Name,Scientific Name,In BS Region,In GOA Region,In WC Region,Taxonomically Classifiable,Species Taxonomic ID,Category of Code,Category Merge Mode,Merge In RACEBASE,Life Stage ID,From Length,To Length,Length Units,Is Organic,ITIS ID,Active,Size Class ID,Polycorder Species Code,Commonly Counted,Merge In Extract,Morphic Subcategory
71747,,Pyrulofusus sp.,Y,Y,,Y,856,N,,N,,,,,Y,,Y,,,U,N,N
71748,,Habevolutopsius hirasei,,Y,,Y,3834,N,,N,,,,,Y,,Y,,,Y,N,N
71749,,Pyrulofusus dexius,,Y,,Y,2126,N,,N,,,,,Y,,Y,,,Y,N,N
71750,,Volutopsius sp.,Y,Y,,Y,1041,N,,N,,,,,Y,,Y,,,Y,N,N
71751,,Volutopsius sp. eggs,Y,,,Y,1041,Y,71750,N,2,,,,Y,,Y,,,U,N,N
71752,,Pyrulofusus sp. eggs,Y,,,Y,856,Y,71747,N,2,,,,Y,,Y,,,U,N,N
71753,warped whelk,Pyrulofusus deformis,Y,Y,,Y,2128,N,,N,,,,,Y,,Y,,,Y,N,N
71754,eggs of Pyrulofusus deformis,Pyrulofusus deformis eggs,Y,Y,Y,Y,2128,Y,71753,N,2,,,,Y,,Y,,,N,N,N
71755,left-hand whelk,Pyrulofusus harpa,Y,Y,,Y,2548,N,,N,,,,,Y,,Y,,,Y,N,N
71756,fragile whelk,Volutopsius fragilis,Y,,,Y,2139,N,,N,,,,,Y,,Y,,,Y,N,N
71757,regular whelk,Volutopsius regularis,,Y,,Y,2141,N,,N,,,,,Y,,Y,,,Y,N,N
71758,eggs of Volutopsius fragilis,Volutopsius fragilis eggs,Y,Y,Y,Y,2139,Y,71756,N,2,,,,Y,,Y,,,N,N,N
71759,threaded whelk,Volutopsius filosus,Y,,,Y,2137,N,,N,,,,,Y,,Y,,,Y,N,N
71760,volute whelk,Volutopsius castaneus,Y,,,Y,2552,N,,N,,,,,Y,,Y,,,Y,N,N
71761,,Pyrulofusus melonis,Y,,,Y,2127,N,,N,,,,,Y,,Y,,,Y,N,N
71762,simple whelk,Volutopsius simplex,Y,,,Y,2138,N,,N,,,,,Y,,Y,,,Y,N,N
71763,shouldered whelk,Volutopsius stefanssoni,Y,Y,,Y,2144,N,,N,,,,,Y,,Y,,,Y,N,N
71764,tulip whelk,Volutopsius middendorffii,Y,,,Y,2553,N,,N,,,,,Y,,Y,,,Y,N,N
71765,frilled whelk,Volutopsius trophonius,Y,,,Y,2142,N,,N,,,,,Y,,Y,,,Y,N,N
71766,,Volutopsius pallidus,,Y,,Y,2140,N,,N,,,,,Y,,Y,,,Y,N,N
71767,,Volutopsius sp. A (McLean and Clark),,Y,,Y,3549,N,,N,,,,,Y,,Y,,,U,N,N
71768,,Volutopsius sp. B (McLean and Clark),,Y,,Y,3547,N,,N,,,,,Y,,Y,,,U,N,N
71769,,Beringius sp.,Y,Y,,Y,181,N,,N,,,,,Y,,Y,,,Y,N,N
71770,,Beringius kennicottii,Y,Y,,Y,2522,N,,N,,,,,Y,,Y,,,Y,N,N
